time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,total_school_places,total_school_pupils_on_roll,SEND_unit_capacity,resourced_provision_capacity,primary_SEND_unit_capacity,primary_resourced_provision_capacity,secondary_SEND_unit_capacity,secondary_resourced_provision_capacity
202223,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,8,4307,4255,0,55,0,37,0,18
202223,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Primary,6,2147,2037,0,37,0,37,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Secondary,2,2160,2218,0,18,0,0,0,18
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Total,10,4940,3825,0,145,0,123,0,22
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Primary,8,1945,1436,0,102,0,102,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Secondary,2,2995,2389,0,43,0,21,0,22
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Total,11,6979,6991,0,199,0,114,0,85
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Primary,6,1890,1879,0,114,0,114,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Secondary,5,5089,5112,0,85,0,0,0,85
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Total,3,2260,2099,30,0,26,0,4,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Primary,2,630,598,26,0,26,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Secondary,1,1630,1501,4,0,0,0,4,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,3,1290,1062,48,12,48,12,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Primary,3,1290,1062,48,12,48,12,0,0
