time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,school_places,pupils_on_roll,at_or_over_capacity_schools,percent_at_or_over_capacity_schools,pupils_over_capacity,percent_pupils_over_capacity,under_capacity_schools,percent_under_capacity_schools,unfilled_places,percent_unfilled_places
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,81,23615,20752,8,9.87654321,36,0.152445,73,90.12345679,2899,12.276096
202223,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Secondary,18,18968,16745,4,22.22222222,385,2.029734,14,77.77777778,2608,13.749473
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Total,35,15996,13511,1,2.857142857,5,0.031258,34,97.14285714,2490,15.566392
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Primary,30,9194,7690,1,3.333333333,5,0.054383,29,96.66666667,1509,16.412878
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Secondary,5,6802,5821,0,0,0,0,5,100,981,14.422229
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,49,25301,22943,5,10.20408163,80,0.316193,44,89.79591837,2438,9.635983
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Primary,41,14876,13879,4,9.756097561,65,0.436945,37,90.24390244,1062,7.139016
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Secondary,8,10425,9064,1,12.5,15,0.143885,7,87.5,1376,13.199041
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,54,22195,19081,7,12.96296296,59,0.265826,47,87.03703704,3173,14.296013
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary,44,12723,10813,6,13.63636364,51,0.400849,38,86.36363636,1961,15.413032
