time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,primary_planning_area_code,secondary_planning_area_code,school_laestab,school_urn,school_name,school_main_phase,school_phase,school_places,pupils_on_roll,primary_capacity,secondary_capacity,primary_pupils_on_roll,secondary_pupils_on_roll
202223,Academic year,School,E92000001,England,E12000002,North West,341,E08000012,Liverpool,z,1341013,3417039,104739,Woolton High School,Secondary,SS,75,73,0,75,0,73
202223,Academic year,School,E92000001,England,E12000002,North West,341,E08000012,Liverpool,z,1341013,3417042,104742,Clifford Holroyde Specialist Sen College,Secondary,SS,68,68,0,68,0,68
202223,Academic year,School,E92000001,England,E12000002,North West,341,E08000012,Liverpool,1341003,z,3417045,104744,Ernest Cookson School,Primary,PS,70,70,70,0,70,0
202223,Academic year,School,E92000001,England,E12000002,North West,341,E08000012,Liverpool,z,1341013,3417051,104748,Palmerston School,Secondary,SS,150,148,0,150,0,148
202223,Academic year,School,E92000001,England,E12000002,North West,341,E08000012,Liverpool,z,1341013,3417052,104749,Redbridge High School,Secondary,SS,146,146,0,146,0,146
202223,Academic year,School,E92000001,England,E12000002,North West,341,E08000012,Liverpool,1341003,z,3417054,104751,Millstead School,Primary,PS,135,133,135,0,133,0
202223,Academic year,School,E92000001,England,E12000002,North West,341,E08000012,Liverpool,z,1341013,3417059,130961,Sandfield Park School,Secondary,SS,93,92,0,93,0,92
202223,Academic year,School,E92000001,England,E12000002,North West,341,E08000012,Liverpool,1341003,z,3417063,104750,Princes School,Primary,PS,210,199,210,0,199,0
202223,Academic year,School,E92000001,England,E12000002,North West,341,E08000012,Liverpool,1341003,z,3417065,133421,Hope School,Primary,PS,69,61,69,0,61,0
202223,Academic year,School,E92000001,England,E12000002,North West,341,E08000012,Liverpool,z,1341013,3417069,134658,Childwall Abbey School,Secondary,SS,183,179,0,183,0,179
202223,Academic year,School,E92000001,England,E12000002,North West,341,E08000012,Liverpool,1341003,1341013,3417070,133441,Bank View High School,Secondary,AT,285,279,46,239,45,234
202223,Academic year,School,E92000001,England,E12000002,North West,342,E08000013,St. Helens,1342003,1342013,3427005,104843,Willow Bank School,Secondary,AT,65,62,25,40,17,45
202223,Academic year,School,E92000001,England,E12000002,North West,342,E08000013,St. Helens,z,1342013,3427007,131022,Mill Green School,Secondary,SS,115,116,0,115,0,116
202223,Academic year,School,E92000001,England,E12000002,North West,342,E08000013,St. Helens,1342003,1342013,3427008,134865,Lansbury Bridge School,Secondary,AT,222,224,122,100,121,103
202223,Academic year,School,E92000001,England,E12000002,North West,342,E08000013,St. Helens,1342003,1342013,3427009,134888,Wargrave House School,Secondary,AT,75,66,35,40,11,55
202223,Academic year,School,E92000001,England,E12000002,North West,343,E08000014,Sefton,z,1343013,3437004,104977,Presfield High School and Specialist College,Secondary,SS,95,123,0,95,0,123
202223,Academic year,School,E92000001,England,E12000002,North West,343,E08000014,Sefton,1343003,1343013,3437006,104979,Merefield School,Secondary,AT,80,104,40,40,42,62
202223,Academic year,School,E92000001,England,E12000002,North West,343,E08000014,Sefton,z,1343013,3437009,104980,Crosby High School,Secondary,SS,138,167,0,138,0,167
202223,Academic year,School,E92000001,England,E12000002,North West,343,E08000014,Sefton,1343003,1343013,3437011,104982,Newfield School,Secondary,AT,103,98,26,77,23,75
202223,Academic year,School,E92000001,England,E12000002,North West,343,E08000014,Sefton,1343003,1343013,3437013,104983,Rowan Park School,Secondary,AT,229,297,102,127,110,187
202223,Academic year,School,E92000001,England,E12000002,North West,343,E08000014,Sefton,1343003,1343013,3437014,133748,Peterhouse School,Secondary,AT,44,71,19,25,22,49
202223,Academic year,School,E92000001,England,E12000002,North West,344,E08000015,Wirral,1344003,z,3447000,105128,Hayfield School,Primary,PS,161,159,161,0,159,0
202223,Academic year,School,E92000001,England,E12000002,North West,344,E08000015,Wirral,z,1344013,3447001,105129,Clare Mount Specialist Sports College,Secondary,SS,285,287,0,285,0,287
202223,Academic year,School,E92000001,England,E12000002,North West,344,E08000015,Wirral,z,1344013,3447003,105130,Kilgarth School,Secondary,SS,55,54,0,55,0,54
202223,Academic year,School,E92000001,England,E12000002,North West,344,E08000015,Wirral,z,1344013,3447004,105131,Foxfield School,Secondary,SS,174,174,0,174,0,174
202223,Academic year,School,E92000001,England,E12000002,North West,344,E08000015,Wirral,1344003,z,3447005,105132,Elleray Park School,Primary,PS,214,213,214,0,213,0
202223,Academic year,School,E92000001,England,E12000002,North West,344,E08000015,Wirral,z,1344013,3447007,105133,Meadowside School,Secondary,SS,104,105,0,104,0,105
202223,Academic year,School,E92000001,England,E12000002,North West,344,E08000015,Wirral,1344003,z,3447010,105134,Gilbrook School,Primary,PS,60,60,60,0,60,0
202223,Academic year,School,E92000001,England,E12000002,North West,344,E08000015,Wirral,1344003,1344013,3447015,105137,West Kirby Residential School,Secondary,AT,62,96,11,51,16,80
202223,Academic year,School,E92000001,England,E12000002,North West,344,E08000015,Wirral,1344003,z,3447017,105138,Stanley School,Primary,PS,143,142,143,0,142,0
202223,Academic year,School,E92000001,England,E12000002,North West,344,E08000015,Wirral,1344003,z,3447020,105140,Orrets Meadow School,Primary,PS,82,82,82,0,79,3
202223,Academic year,School,E92000001,England,E12000002,North West,344,E08000015,Wirral,z,1344013,3447215,127715,The Observatory School,Secondary,SS,116,114,0,116,10,104
202223,Academic year,School,E92000001,England,E12000002,North West,350,E08000001,Bolton,1350003,z,3507000,146406,Ladywood School,Primary,PS,170,193,170,0,193,0
202223,Academic year,School,E92000001,England,E12000002,North West,350,E08000001,Bolton,1350003,1350013,3507002,105276,Thomasson Memorial School,Secondary,AT,80,75,40,40,34,41
202223,Academic year,School,E92000001,England,E12000002,North West,350,E08000001,Bolton,z,1350013,3507003,105277,Rumworth School,Secondary,SS,260,326,0,260,0,326
202223,Academic year,School,E92000001,England,E12000002,North West,350,E08000001,Bolton,z,1350013,3507004,146410,Firwood High School,Secondary,SS,170,198,0,170,0,198
202223,Academic year,School,E92000001,England,E12000002,North West,350,E08000001,Bolton,z,1350013,3507006,142766,Lever Park School,Secondary,SS,69,88,0,69,0,88
202223,Academic year,School,E92000001,England,E12000002,North West,350,E08000001,Bolton,1350003,1350013,3507007,105280,Birtenshaw,Secondary,AT,100,x,50,50,0,0
202223,Academic year,School,E92000001,England,E12000002,North West,350,E08000001,Bolton,1350003,z,3507008,105281,Green Fold School,Primary,PS,140,155,140,0,155,0
202223,Academic year,School,E92000001,England,E12000002,North West,351,E08000002,Bury,z,1351013,3517009,105376,Cloughside College,Secondary,SS,40,8,0,40,0,8
202223,Academic year,School,E92000001,England,E12000002,North West,351,E08000002,Bury,1351003,z,3517010,105377,Millwood Primary Special School,Primary,PS,160,x,160,0,0,0
202223,Academic year,School,E92000001,England,E12000002,North West,351,E08000002,Bury,z,1351013,3517011,146891,Elms Bank,Secondary,SS,221,309,0,221,0,309
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,z,1352013,3527000,142893,Pioneer House High School,Secondary,SS,130,130,0,130,0,130
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,1352003,1352013,3527001,145845,Grange School,Secondary,AT,250,252,100,150,96,156
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,1352003,z,3527002,147885,Prospect House Specialist Support Primary School,Primary,PS,100,87,100,0,87,0
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,1352003,z,3527023,105606,Camberwell Park Specialist Support School,Primary,PS,180,187,180,0,187,0
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,1352003,1352013,3527029,105608,Lancasterian School,Secondary,AT,180,180,80,100,76,104
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,z,1352013,3527039,141805,Piper Hill High School,Secondary,SS,255,260,0,255,0,260
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,1352003,z,3527041,105613,The Birches School,Primary,PS,160,165,160,0,165,0
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,1352003,1352013,3527042,105614,Meade Hill School,Secondary,MS,48,174,5,43,0,174
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,z,1352013,3527043,138532,Melland High School,Secondary,SS,186,185,0,186,0,185
202223,Academic year,School,E92000001,England,E12000002,North West,352,E08000003,Manchester,1352003,z,3527047,105616,Rodney House School,Primary,PS,72,72,72,0,72,0
