time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,count_schools_with_primary_and_secondary_capacity,school_places,pupils_on_roll,primary_capacity,secondary_capacity,primary_pupils_on_roll,secondary_pupils_on_roll
202324,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Secondary,3,2,539,590,117,422,93,497
202324,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,14,4,1876,2017,709,1167,732,1285
202324,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Primary,4,0,530,525,530,0,525,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Secondary,10,4,1346,1492,179,1167,207,1285
202324,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,4,3,497,495,182,315,155,340
202324,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Secondary,4,3,497,495,182,315,155,340
202324,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Total,6,4,742,886,197,545,228,658
202324,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Secondary,6,4,742,886,197,545,228,658
202324,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Total,11,2,1664,1623,719,945,709,914
202324,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Primary,5,0,668,669,668,0,668,1
202324,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Secondary,6,2,996,954,51,945,41,913
202324,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,7,2,989,1094,400,589,401,693
202324,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Primary,2,0,310,362,310,0,362,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Secondary,5,2,679,732,90,589,39,693
202324,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Total,4,0,501,369,160,341,0,369
202324,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Primary,1,0,160,x,160,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Secondary,3,0,341,369,0,341,0,369
202324,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Total,13,4,2331,2329,897,1434,904,1425
202324,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Primary,5,0,707,709,707,0,709,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Secondary,8,4,1624,1620,190,1434,195,1425
202324,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Total,6,2,1250,1463,475,775,458,1005
202324,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Primary,2,0,302,311,302,0,311,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Secondary,4,2,948,1152,173,775,147,1005
202324,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Total,4,1,473,683,236,237,277,406
202324,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Primary,2,0,213,257,213,0,257,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Secondary,2,1,260,426,23,237,20,406
202324,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,4,2,875,1003,346,529,375,628
202324,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Primary,1,0,311,337,311,0,337,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Secondary,3,2,564,666,35,529,38,628
202324,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,8,2,937,948,363,574,324,624
202324,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Primary,3,0,263,291,263,0,291,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Secondary,5,2,674,657,100,574,33,624
202324,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Total,5,1,653,841,358,295,415,426
202324,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Primary,2,0,331,382,331,0,382,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Secondary,3,1,322,459,27,295,33,426
202324,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Total,7,0,758,863,399,359,437,426
202324,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Primary,4,0,399,437,399,0,437,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Secondary,3,0,359,426,0,359,0,426
202324,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,6,2,938,1011,370,568,396,615
202324,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Primary,2,0,200,199,200,0,199,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Secondary,4,2,738,812,170,568,197,615
202324,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Total,4,1,429,431,173,256,166,265
202324,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Primary,1,0,122,122,122,0,122,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Secondary,3,1,307,309,51,256,44,265
202324,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Total,4,4,406,477,159,247,178,299
202324,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Secondary,4,4,406,477,159,247,178,299
202324,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Total,29,12,3350,3643,1416,1934,1491,2152
202324,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Primary,8,0,794,851,794,0,851,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Secondary,21,12,2556,2792,622,1934,640,2152
202324,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Total,3,2,382,420,134,248,132,288
202324,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Secondary,3,2,382,420,134,248,132,288
202324,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,4,4,537,583,223,314,243,340
202324,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Secondary,4,4,537,583,223,314,243,340
202324,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Total,7,7,729,708,255,474,245,463
202324,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Secondary,7,7,729,708,255,474,245,463
202324,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Total,10,6,953,1144,386,567,396,748
202324,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Primary,2,0,94,102,94,0,102,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Secondary,8,6,859,1042,292,567,294,748
202324,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Total,3,3,466,478,215,251,226,252
202324,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Secondary,3,3,466,478,215,251,226,252
202324,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Total,3,3,290,299,115,175,124,175
202324,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Secondary,3,3,290,299,115,175,124,175
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Total,2,2,419,463,160,259,145,318
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Secondary,2,2,419,463,160,259,145,318
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Total,7,7,795,814,438,357,282,532
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Secondary,7,7,795,814,438,357,282,532
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Total,7,7,1069,1202,374,695,377,825
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Secondary,7,7,1069,1202,374,695,377,825
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Total,13,5,1738,1747,567,1171,572,1175
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Primary,4,0,427,476,427,0,476,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Secondary,9,5,1311,1271,140,1171,96,1175
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Total,8,1,1507,1518,560,947,566,952
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Primary,3,0,521,532,521,0,532,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Secondary,5,1,986,986,39,947,34,952
