time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,count_schools_with_primary_and_secondary_capacity,total_school_places,total_pupils_on_roll,SEND_unit_capacity,resourced_provision_capacity,primary_SEND_unit_capacity,primary_resourced_provision_capacity,secondary_SEND_unit_capacity,secondary_resourced_provision_capacity
202324,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Secondary,5,0,5391,5335,0,101,0,0,0,101
202324,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Total,4,0,2449,2253,9,44,9,30,0,14
202324,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Primary,3,0,819,767,9,30,9,30,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Secondary,1,0,1630,1486,0,14,0,0,0,14
202324,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,3,0,1290,1063,48,12,48,12,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Primary,3,0,1290,1063,48,12,48,12,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Total,16,0,9815,9059,8,166,8,96,0,70
202324,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Primary,12,0,4725,4236,8,96,8,96,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Secondary,4,0,5090,4823,0,70,0,0,0,70
202324,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Total,11,0,5028,4449,0,114,0,87,0,27
202324,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Primary,9,0,2712,2450,0,87,0,87,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Secondary,2,0,2316,1999,0,27,0,0,0,27
202324,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Total,12,0,9325,8880,0,116,0,50,0,66
202324,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Primary,6,0,1250,1205,0,50,0,50,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Secondary,6,0,8075,7675,0,66,0,0,0,66
202324,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Total,8,0,5239,4072,0,71,0,35,0,36
202324,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Primary,4,0,1236,958,0,35,0,35,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Secondary,4,0,4003,3114,0,36,0,0,0,36
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Total,8,0,5695,5533,44,131,28,45,16,86
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Primary,5,0,1575,1424,28,45,28,45,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Secondary,3,0,4120,4109,16,86,0,0,16,86
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Total,4,0,2742,2346,40,0,30,0,10,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Primary,3,0,1051,909,30,0,30,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Secondary,1,0,1691,1437,10,0,0,0,10,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Total,9,0,8632,7684,0,95,0,40,0,55
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Primary,5,0,1678,1398,0,40,0,40,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Secondary,4,0,6954,6286,0,55,0,0,0,55
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Total,29,1,20600,20085,0,408,0,276,0,132
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Primary,20,0,7672,7289,0,268,0,268,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Secondary,9,1,12928,12796,0,140,0,8,0,132
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Total,33,2,26288,24650,0,601,0,320,0,281
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Primary,21,0,8235,7561,0,308,0,308,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Secondary,12,2,18053,17089,0,293,0,12,0,281
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Total,7,0,2647,2050,40,40,40,30,0,10
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Primary,6,0,1447,1076,40,30,40,30,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Secondary,1,0,1200,974,0,10,0,0,0,10
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Total,10,0,7256,7011,172,0,46,0,126,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Primary,4,0,1366,1275,46,0,46,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Secondary,6,0,5890,5736,126,0,0,0,126,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Total,20,2,18953,16875,0,286,0,147,0,139
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Primary,10,0,4513,4074,0,144,0,144,0,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Secondary,10,2,14440,12801,0,142,0,3,0,139
